sound,temperature,humidity,score
61,76,42,8.43
61,77,41,8.43
61,78,40,8.43
62,68,49,8.43
62,69,48,8.43
62,70,47,8.43
62,71,46,8.43
62,72,45,8.43
62,73,44,8.43
62,74,43,8.43
62,75,42,8.43
62,76,41,8.43
62,77,40,8.43
63,68,48,8.43
63,69,47,8.43
63,70,46,8.43
63,71,45,8.43
63,72,44,8.43
63,73,43,8.43
63,74,42,8.43
63,75,41,8.43
63,76,40,8.43
64,68,47,8.43
64,69,46,8.43
64,70,45,8.43
64,71,44,8.43
64,72,43,8.43
64,73,42,8.43
64,74,41,8.43
64,75,40,8.43
65,68,46,8.43
65,69,45,8.43
65,70,44,8.43
65,71,43,8.43
65,72,42,8.43
65,73,41,8.43
65,74,40,8.43
66,68,45,8.43
66,69,44,8.43
66,70,43,8.43
66,71,42,8.43
66,72,41,8.43
66,73,40,8.43
67,68,44,8.43
67,69,43,8.43
67,70,42,8.43
67,71,41,8.43
67,72,40,8.43
68,68,43,8.43
68,69,42,8.43
68,70,41,8.43
68,71,40,8.43
69,68,42,8.43
69,69,41,8.43
69,70,40,8.43
70,68,41,8.43
70,69,40,8.43
71,68,40,8.43
60,68,52,8.29
60,69,51,8.29
60,70,50,8.29
60,71,49,8.29
60,72,48,8.29
60,73,47,8.29
60,74,46,8.29
60,75,45,8.29
60,76,44,8.29
60,77,43,8.29
60,78,42,8.29
60,79,41,8.29
60,80,40,8.29
61,68,51,8.29
61,69,50,8.29
61,70,49,8.29
61,71,48,8.29
61,72,47,8.29
61,73,46,8.29
61,74,45,8.29
61,75,44,8.29
61,76,43,8.29
61,77,42,8.29
61,78,41,8.29
61,79,40,8.29
62,68,50,8.29
62,69,49,8.29
62,70,48,8.29
62,71,47,8.29
62,72,46,8.29
62,73,45,8.29
62,74,44,8.29
62,75,43,8.29
62,76,42,8.29
62,77,41,8.29
62,78,40,8.29
63,68,49,8.29
63,69,48,8.29
63,70,47,8.29
63,71,46,8.29
63,72,45,8.29
63,73,44,8.29
63,74,43,8.29
63,75,42,8.29
63,76,41,8.29
63,77,40,8.29
64,68,48,8.29
64,69,47,8.29
64,70,46,8.29
64,71,45,8.29
64,72,44,8.29
64,73,43,8.29
64,74,42,8.29
64,75,41,8.29
64,76,40,8.29
65,68,47,8.29
65,69,46,8.29
65,70,45,8.29
65,71,44,8.29
65,72,43,8.29
65,73,42,8.29
65,74,41,8.29
65,75,40,8.29
66,68,46,8.29
66,69,45,8.29
66,70,44,8.29
66,71,43,8.29
66,72,42,8.29
66,73,41,8.29
66,74,40,8.29
67,68,45,8.29
67,69,44,8.29
67,70,43,8.29
67,71,42,8.29
67,72,41,8.29
67,73,40,8.29
68,68,44,8.29
68,69,43,8.29
68,70,42,8.29
68,71,41,8.29
68,72,40,8.29
69,68,43,8.29
69,69,42,8.29
69,70,41,8.29
69,71,40,8.29
70,68,42,8.29
70,69,41,8.29
70,70,40,8.29
71,68,41,8.29
71,69,40,8.29
72,68,40,8.29
60,68,53,8.14
60,69,52,8.14
60,70,51,8.14
60,71,50,8.14
60,72,49,8.14
60,73,48,8.14
60,74,47,8.14
60,75,46,8.14
60,76,45,8.14
60,77,44,8.14
60,78,43,8.14
60,79,42,8.14
60,80,41,8.14
60,81,40,8.14
61,68,52,8.14
61,69,51,8.14
61,70,50,8.14
61,71,49,8.14
61,72,48,8.14
61,73,47,8.14
61,74,46,8.14
61,75,45,8.14
61,76,44,8.14
61,77,43,8.14
61,78,42,8.14
61,79,41,8.14
61,80,40,8.14
62,68,51,8.14
62,69,50,8.14
62,70,49,8.14
62,71,48,8.14
62,72,47,8.14
62,73,46,8.14
62,74,45,8.14
62,75,44,8.14
62,76,43,8.14
62,77,42,8.14
62,78,41,8.14
62,79,40,8.14
63,68,50,8.14
63,69,49,8.14
63,70,48,8.14
63,71,47,8.14
63,72,46,8.14
63,73,45,8.14
63,74,44,8.14
63,75,43,8.14
63,76,42,8.14
63,77,41,8.14
63,78,40,8.14
64,68,49,8.14
64,69,48,8.14
64,70,47,8.14
64,71,46,8.14
64,72,45,8.14
64,73,44,8.14
64,74,43,8.14
64,75,42,8.14
64,76,41,8.14
64,77,40,8.14
65,68,48,8.14
65,69,47,8.14
65,70,46,8.14
65,71,45,8.14
65,72,44,8.14
65,73,43,8.14
65,74,42,8.14
65,75,41,8.14
65,76,40,8.14
66,68,47,8.14
66,69,46,8.14
66,70,45,8.14
66,71,44,8.14
66,72,43,8.14
66,73,42,8.14
66,74,41,8.14
66,75,40,8.14
67,68,46,8.14
67,69,45,8.14
67,70,44,8.14
67,71,43,8.14
67,72,42,8.14
67,73,41,8.14
67,74,40,8.14
68,68,45,8.14
68,69,44,8.14
68,70,43,8.14
68,71,42,8.14
68,72,41,8.14
68,73,40,8.14
69,68,44,8.14
69,69,43,8.14
69,70,42,8.14
69,71,41,8.14
69,72,40,8.14
70,68,43,8.14
70,69,42,8.14
70,70,41,8.14
70,71,40,8.14
71,68,42,8.14
71,69,41,8.14
71,70,40,8.14
72,68,41,8.14
72,69,40,8.14
73,68,40,8.14
60,68,54,8
60,69,53,8
60,70,52,8
60,71,51,8
60,72,50,8
60,73,49,8
60,74,48,8
60,75,47,8
60,76,46,8
60,77,45,8
60,78,44,8
60,79,43,8
60,80,42,8
60,81,41,8
60,82,40,8
61,68,53,8
61,69,52,8
61,70,51,8
61,71,50,8
61,72,49,8
61,73,48,8
61,74,47,8
61,75,46,8
61,76,45,8
61,77,44,8
61,78,43,8
61,79,42,8
61,80,41,8
61,81,40,8
62,68,52,8
62,69,51,8
62,70,50,8
62,71,49,8
62,72,48,8
62,73,47,8
62,74,46,8
62,75,45,8
62,76,44,8
62,77,43,8
62,78,42,8
62,79,41,8
62,80,40,8
63,68,51,8
63,69,50,8
63,70,49,8
63,71,48,8
63,72,47,8
63,73,46,8
63,74,45,8
63,75,44,8
63,76,43,8
63,77,42,8
63,78,41,8
63,79,40,8
64,68,50,8
64,69,49,8
64,70,48,8
64,71,47,8
64,72,46,8
64,73,45,8
64,74,44,8
64,75,43,8
64,76,42,8
64,77,41,8
64,78,40,8
65,68,49,8
65,69,48,8
65,70,47,8
65,71,46,8
65,72,45,8
65,73,44,8
65,74,43,8
65,75,42,8
65,76,41,8
65,77,40,8
66,68,48,8
66,69,47,8
66,70,46,8
66,71,45,8
66,72,44,8
66,73,43,8
66,74,42,8
66,75,41,8
66,76,40,8
67,68,47,8
67,69,46,8
67,70,45,8
67,71,44,8
67,72,43,8
67,73,42,8
67,74,41,8
67,75,40,8
68,68,46,8
68,69,45,8
68,70,44,8
68,71,43,8
68,72,42,8
68,73,41,8
68,74,40,8
69,68,45,8
69,69,44,8
69,70,43,8
69,71,42,8
69,72,41,8
69,73,40,8
70,68,44,8
70,69,43,8
70,70,42,8
70,71,41,8
70,72,40,8
71,68,43,8
71,69,42,8
71,70,41,8
71,71,40,8
72,68,42,8
72,69,41,8
72,70,40,8
73,68,41,8
73,69,40,8
74,68,40,8
60,68,55,7.86
60,69,54,7.86
60,70,53,7.86
60,71,52,7.86
60,72,51,7.86
60,73,50,7.86
60,74,49,7.86
60,75,48,7.86
60,76,47,7.86
60,77,46,7.86
60,78,45,7.86
60,79,44,7.86
60,80,43,7.86
60,81,42,7.86
60,82,41,7.86
60,83,40,7.86
61,68,54,7.86
61,69,53,7.86
61,70,52,7.86
61,71,51,7.86
61,72,50,7.86
61,73,49,7.86
61,74,48,7.86
61,75,47,7.86
61,76,46,7.86
61,77,45,7.86
61,78,44,7.86
61,79,43,7.86
61,80,42,7.86
61,81,41,7.86
61,82,40,7.86
62,68,53,7.86
62,69,52,7.86
62,70,51,7.86
62,71,50,7.86
62,72,49,7.86
62,73,48,7.86
62,74,47,7.86
62,75,46,7.86
62,76,45,7.86
62,77,44,7.86
62,78,43,7.86
62,79,42,7.86
62,80,41,7.86
62,81,40,7.86
63,68,52,7.86
63,69,51,7.86
63,70,50,7.86
63,71,49,7.86
63,72,48,7.86
63,73,47,7.86
63,74,46,7.86
63,75,45,7.86
63,76,44,7.86
63,77,43,7.86
63,78,42,7.86
63,79,41,7.86
63,80,40,7.86
64,68,51,7.86
64,69,50,7.86
64,70,49,7.86
64,71,48,7.86
64,72,47,7.86
64,73,46,7.86
64,74,45,7.86
64,75,44,7.86
64,76,43,7.86
64,77,42,7.86
64,78,41,7.86
64,79,40,7.86
65,68,50,7.86
65,69,49,7.86
65,70,48,7.86
65,71,47,7.86
65,72,46,7.86
65,73,45,7.86
65,74,44,7.86
65,75,43,7.86
65,76,42,7.86
65,77,41,7.86
65,78,40,7.86
66,68,49,7.86
66,69,48,7.86
66,70,47,7.86
66,71,46,7.86
66,72,45,7.86
66,73,44,7.86
66,74,43,7.86
66,75,42,7.86
66,76,41,7.86
66,77,40,7.86
67,68,48,7.86
67,69,47,7.86
67,70,46,7.86
67,71,45,7.86
67,72,44,7.86
67,73,43,7.86
67,74,42,7.86
67,75,41,7.86
67,76,40,7.86
68,68,47,7.86
68,69,46,7.86
68,70,45,7.86
68,71,44,7.86
68,72,43,7.86
68,73,42,7.86
68,74,41,7.86
68,75,40,7.86
69,68,46,7.86
69,69,45,7.86
69,70,44,7.86
69,71,43,7.86
69,72,42,7.86
69,73,41,7.86
69,74,40,7.86
70,68,45,7.86
70,69,44,7.86
70,70,43,7.86
70,71,42,7.86
70,72,41,7.86
70,73,40,7.86
71,68,44,7.86
71,69,43,7.86
71,70,42,7.86
71,71,41,7.86
71,72,40,7.86
72,68,43,7.86
72,69,42,7.86
72,70,41,7.86
72,71,40,7.86
73,68,42,7.86
73,69,41,7.86
73,70,40,7.86
74,68,41,7.86
74,69,40,7.86
75,68,40,7.86
60,68,56,7.71
60,69,55,7.71
60,70,54,7.71
60,71,53,7.71
60,72,52,7.71
60,73,51,7.71
60,74,50,7.71
60,75,49,7.71
60,76,48,7.71
60,77,47,7.71
60,78,46,7.71
60,79,45,7.71
60,80,44,7.71
60,81,43,7.71
60,82,42,7.71
60,83,41,7.71
60,84,40,7.71
61,68,55,7.71
61,69,54,7.71
61,70,53,7.71
61,71,52,7.71
61,72,51,7.71
61,73,50,7.71
61,74,49,7.71
61,75,48,7.71
61,76,47,7.71
61,77,46,7.71
61,78,45,7.71
61,79,44,7.71
61,80,43,7.71
61,81,42,7.71
61,82,41,7.71
61,83,40,7.71
62,68,54,7.71
62,69,53,7.71
62,70,52,7.71
62,71,51,7.71
62,72,50,7.71
62,73,49,7.71
62,74,48,7.71
62,75,47,7.71
62,76,46,7.71
62,77,45,7.71
62,78,44,7.71
62,79,43,7.71
62,80,42,7.71
62,81,41,7.71
62,82,40,7.71
63,68,53,7.71
63,69,52,7.71
63,70,51,7.71
63,71,50,7.71
63,72,49,7.71
63,73,48,7.71
63,74,47,7.71
63,75,46,7.71
63,76,45,7.71
63,77,44,7.71
63,78,43,7.71
63,79,42,7.71
63,80,41,7.71
63,81,40,7.71
64,68,52,7.71
64,69,51,7.71
64,70,50,7.71
64,71,49,7.71
64,72,48,7.71
64,73,47,7.71
64,74,46,7.71
64,75,45,7.71
64,76,44,7.71
64,77,43,7.71
64,78,42,7.71
64,79,41,7.71
64,80,40,7.71
65,68,51,7.71
65,69,50,7.71
65,70,49,7.71
65,71,48,7.71
65,72,47,7.71
65,73,46,7.71
65,74,45,7.71
65,75,44,7.71
65,76,43,7.71
65,77,42,7.71
65,78,41,7.71
65,79,40,7.71
66,68,50,7.71
66,69,49,7.71
66,70,48,7.71
66,71,47,7.71
66,72,46,7.71
66,73,45,7.71
66,74,44,7.71
66,75,43,7.71
66,76,42,7.71
66,77,41,7.71
66,78,40,7.71
67,68,49,7.71
67,69,48,7.71
67,70,47,7.71
67,71,46,7.71
67,72,45,7.71
67,73,44,7.71
67,74,43,7.71
67,75,42,7.71
67,76,41,7.71
67,77,40,7.71
68,68,48,7.71
68,69,47,7.71
68,70,46,7.71
68,71,45,7.71
68,72,44,7.71
68,73,43,7.71
68,74,42,7.71
68,75,41,7.71
68,76,40,7.71
69,68,47,7.71
69,69,46,7.71
69,70,45,7.71
69,71,44,7.71
69,72,43,7.71
69,73,42,7.71
69,74,41,7.71
69,75,40,7.71
70,68,46,7.71
70,69,45,7.71
70,70,44,7.71
70,71,43,7.71
70,72,42,7.71
70,73,41,7.71
70,74,40,7.71
71,68,45,7.71
71,69,44,7.71
71,70,43,7.71
71,71,42,7.71
71,72,41,7.71
71,73,40,7.71
72,68,44,7.71
72,69,43,7.71
72,70,42,7.71
72,71,41,7.71
72,72,40,7.71
73,68,43,7.71
73,69,42,7.71
73,70,41,7.71
73,71,40,7.71
74,68,42,7.71
74,69,41,7.71
74,70,40,7.71
75,68,41,7.71
75,69,40,7.71
76,68,40,7.71
60,68,57,7.57
60,69,56,7.57
60,70,55,7.57
60,71,54,7.57
60,72,53,7.57
60,73,52,7.57
60,74,51,7.57
60,75,50,7.57
60,76,49,7.57
60,77,48,7.57
60,78,47,7.57
60,79,46,7.57
60,80,45,7.57
60,81,44,7.57
60,82,43,7.57
60,83,42,7.57
60,84,41,7.57
60,85,40,7.57
61,68,56,7.57
61,69,55,7.57
61,70,54,7.57
61,71,53,7.57
61,72,52,7.57
61,73,51,7.57
61,74,50,7.57
61,75,49,7.57
61,76,48,7.57
61,77,47,7.57
61,78,46,7.57
61,79,45,7.57
61,80,44,7.57
61,81,43,7.57
61,82,42,7.57
61,83,41,7.57
61,84,40,7.57
62,68,55,7.57
62,69,54,7.57
62,70,53,7.57
62,71,52,7.57
62,72,51,7.57
62,73,50,7.57
62,74,49,7.57
62,75,48,7.57
62,76,47,7.57
62,77,46,7.57
62,78,45,7.57
62,79,44,7.57
62,80,43,7.57
62,81,42,7.57
62,82,41,7.57
62,83,40,7.57
63,68,54,7.57
63,69,53,7.57
63,70,52,7.57
63,71,51,7.57
63,72,50,7.57
63,73,49,7.57
63,74,48,7.57
63,75,47,7.57
63,76,46,7.57
63,77,45,7.57
63,78,44,7.57
63,79,43,7.57
63,80,42,7.57
63,81,41,7.57
63,82,40,7.57
64,68,53,7.57
64,69,52,7.57
64,70,51,7.57
64,71,50,7.57
64,72,49,7.57
64,73,48,7.57
64,74,47,7.57
64,75,46,7.57
64,76,45,7.57
64,77,44,7.57
64,78,43,7.57
64,79,42,7.57
64,80,41,7.57
64,81,40,7.57
65,68,52,7.57
65,69,51,7.57
65,70,50,7.57
65,71,49,7.57
65,72,48,7.57
65,73,47,7.57
65,74,46,7.57
65,75,45,7.57
65,76,44,7.57
65,77,43,7.57
65,78,42,7.57
65,79,41,7.57
65,80,40,7.57
66,68,51,7.57
66,69,50,7.57
66,70,49,7.57
66,71,48,7.57
66,72,47,7.57
66,73,46,7.57
66,74,45,7.57
66,75,44,7.57
66,76,43,7.57
66,77,42,7.57
66,78,41,7.57
66,79,40,7.57
67,68,50,7.57
67,69,49,7.57
67,70,48,7.57
67,71,47,7.57
67,72,46,7.57
67,73,45,7.57
67,74,44,7.57
67,75,43,7.57
67,76,42,7.57
67,77,41,7.57
67,78,40,7.57
68,68,49,7.57
68,69,48,7.57
68,70,47,7.57
68,71,46,7.57
68,72,45,7.57
68,73,44,7.57
68,74,43,7.57
68,75,42,7.57
68,76,41,7.57
68,77,40,7.57
69,68,48,7.57
69,69,47,7.57
69,70,46,7.57
69,71,45,7.57
69,72,44,7.57
69,73,43,7.57
69,74,42,7.57
69,75,41,7.57
69,76,40,7.57
70,68,47,7.57
70,69,46,7.57
70,70,45,7.57
70,71,44,7.57
70,72,43,7.57
70,73,42,7.57
70,74,41,7.57
70,75,40,7.57
71,68,46,7.57
71,69,45,7.57
71,70,44,7.57
71,71,43,7.57
71,72,42,7.57
71,73,41,7.57
71,74,40,7.57
72,68,45,7.57
72,69,44,7.57
72,70,43,7.57
72,71,42,7.57
72,72,41,7.57
72,73,40,7.57
73,68,44,7.57
73,69,43,7.57
73,70,42,7.57
73,71,41,7.57
73,72,40,7.57
74,68,43,7.57
74,69,42,7.57
74,70,41,7.57
74,71,40,7.57
75,68,42,7.57
75,69,41,7.57
75,70,40,7.57
76,68,41,7.57
76,69,40,7.57
77,68,40,7.57
60,68,58,7.43
60,69,57,7.43
60,70,56,7.43
60,71,55,7.43
60,72,54,7.43
60,73,53,7.43
60,74,52,7.43
60,75,51,7.43
60,76,50,7.43
60,77,49,7.43
60,78,48,7.43
60,79,47,7.43
60,80,46,7.43
60,81,45,7.43
60,82,44,7.43
60,83,43,7.43
60,84,42,7.43
60,85,41,7.43
60,86,40,7.43
61,68,57,7.43
61,69,56,7.43
61,70,55,7.43
61,71,54,7.43
61,72,53,7.43
61,73,52,7.43
61,74,51,7.43
61,75,50,7.43
61,76,49,7.43
61,77,48,7.43
61,78,47,7.43
61,79,46,7.43
61,80,45,7.43
61,81,44,7.43
61,82,43,7.43
61,83,42,7.43
61,84,41,7.43
61,85,40,7.43
62,68,56,7.43
62,69,55,7.43
62,70,54,7.43
62,71,53,7.43
62,72,52,7.43
62,73,51,7.43
62,74,50,7.43
62,75,49,7.43
62,76,48,7.43
62,77,47,7.43
62,78,46,7.43
62,79,45,7.43
62,80,44,7.43
62,81,43,7.43
62,82,42,7.43
62,83,41,7.43
62,84,40,7.43
63,68,55,7.43
63,69,54,7.43
63,70,53,7.43
63,71,52,7.43
63,72,51,7.43
63,73,50,7.43
63,74,49,7.43
63,75,48,7.43
63,76,47,7.43
63,77,46,7.43
63,78,45,7.43
63,79,44,7.43
63,80,43,7.43
63,81,42,7.43
63,82,41,7.43
63,83,40,7.43
64,68,54,7.43
64,69,53,7.43
64,70,52,7.43
64,71,51,7.43
64,72,50,7.43
64,73,49,7.43
64,74,48,7.43
64,75,47,7.43
64,76,46,7.43
64,77,45,7.43
64,78,44,7.43
64,79,43,7.43
64,80,42,7.43
64,81,41,7.43
64,82,40,7.43
65,68,53,7.43
65,69,52,7.43
65,70,51,7.43
65,71,50,7.43
65,72,49,7.43
65,73,48,7.43
65,74,47,7.43
65,75,46,7.43
65,76,45,7.43
65,77,44,7.43
65,78,43,7.43
65,79,42,7.43
65,80,41,7.43
65,81,40,7.43
66,68,52,7.43
66,69,51,7.43
66,70,50,7.43
66,71,49,7.43
66,72,48,7.43
66,73,47,7.43
66,74,46,7.43
66,75,45,7.43
66,76,44,7.43
66,77,43,7.43
66,78,42,7.43
66,79,41,7.43
66,80,40,7.43
67,68,51,7.43
67,69,50,7.43
67,70,49,7.43
67,71,48,7.43
67,72,47,7.43
67,73,46,7.43
67,74,45,7.43
67,75,44,7.43
67,76,43,7.43
67,77,42,7.43
67,78,41,7.43
67,79,40,7.43
68,68,50,7.43
68,69,49,7.43
68,70,48,7.43
68,71,47,7.43
68,72,46,7.43
68,73,45,7.43
68,74,44,7.43
68,75,43,7.43
68,76,42,7.43
68,77,41,7.43
68,78,40,7.43
69,68,49,7.43
69,69,48,7.43
69,70,47,7.43
69,71,46,7.43
69,72,45,7.43
69,73,44,7.43
69,74,43,7.43
69,75,42,7.43
69,76,41,7.43
69,77,40,7.43
70,68,48,7.43
70,69,47,7.43
70,70,46,7.43
70,71,45,7.43
70,72,44,7.43
70,73,43,7.43
70,74,42,7.43
70,75,41,7.43
70,76,40,7.43
71,68,47,7.43
71,69,46,7.43
71,70,45,7.43
71,71,44,7.43
71,72,43,7.43
71,73,42,7.43
71,74,41,7.43
71,75,40,7.43
72,68,46,7.43
72,69,45,7.43
72,70,44,7.43
72,71,43,7.43
72,72,42,7.43
72,73,41,7.43
72,74,40,7.43
73,68,45,7.43
73,69,44,7.43
73,70,43,7.43
73,71,42,7.43
73,72,41,7.43
73,73,40,7.43
74,68,44,7.43
74,69,43,7.43
74,70,42,7.43
74,71,41,7.43
74,72,40,7.43
75,68,43,7.43
75,69,42,7.43
75,70,41,7.43
75,71,40,7.43
76,68,42,7.43
76,69,41,7.43
76,70,40,7.43
77,68,41,7.43
77,69,40,7.43
78,68,40,7.43
60,68,59,7.29
60,69,58,7.29
60,70,57,7.29
60,71,56,7.29
60,72,55,7.29
60,73,54,7.29
60,74,53,7.29
60,75,52,7.29
60,76,51,7.29
60,77,50,7.29
60,78,49,7.29
60,79,48,7.29
60,80,47,7.29
60,81,46,7.29
60,82,45,7.29
60,83,44,7.29
60,84,43,7.29
60,85,42,7.29
60,86,41,7.29
61,68,58,7.29
61,69,57,7.29
61,70,56,7.29
61,71,55,7.29
61,72,54,7.29
61,73,53,7.29
61,74,52,7.29
61,75,51,7.29
61,76,50,7.29
61,77,49,7.29
61,78,48,7.29
61,79,47,7.29
61,80,46,7.29
61,81,45,7.29
61,82,44,7.29
61,83,43,7.29
61,84,42,7.29
61,85,41,7.29
61,86,40,7.29
62,68,57,7.29
62,69,56,7.29
62,70,55,7.29
62,71,54,7.29
62,72,53,7.29
62,73,52,7.29
62,74,51,7.29
62,75,50,7.29
62,76,49,7.29
62,77,48,7.29
62,78,47,7.29
62,79,46,7.29
62,80,45,7.29
62,81,44,7.29
62,82,43,7.29
62,83,42,7.29
62,84,41,7.29
62,85,40,7.29
63,68,56,7.29
63,69,55,7.29
63,70,54,7.29
63,71,53,7.29
63,72,52,7.29
63,73,51,7.29
63,74,50,7.29
63,75,49,7.29
63,76,48,7.29
63,77,47,7.29
63,78,46,7.29
63,79,45,7.29
63,80,44,7.29
63,81,43,7.29
63,82,42,7.29
63,83,41,7.29
63,84,40,7.29
64,68,55,7.29
64,69,54,7.29
64,70,53,7.29
64,71,52,7.29
64,72,51,7.29
64,73,50,7.29
64,74,49,7.29
64,75,48,7.29
64,76,47,7.29
64,77,46,7.29
64,78,45,7.29
64,79,44,7.29
64,80,43,7.29
64,81,42,7.29
64,82,41,7.29
64,83,40,7.29
65,68,54,7.29
65,69,53,7.29
65,70,52,7.29
65,71,51,7.29
65,72,50,7.29
65,73,49,7.29
65,74,48,7.29
65,75,47,7.29
65,76,46,7.29
