is_self_employed,organization_size,is_tech_company,is_mh_benefits_provided,is_aware_mh_care_available,is_mh_discussed_by_employer,is_mh_resources_provided_by_employer,is_anonymity_protected,how_is_asking_for_medical_leave_due_to_mhi,is_discussing_mhd_with_employer_have_negative_consequences,is_discussing_phd_with_employer_have_negative_consequences,is_willing_to_discuss_mhi_with_colleagues,is_willing_to_discuss_mhi_with_direct_supervisor,is_employer_takes_mh_seriously,is_aware_of_previous_negative_consequence_of_colleagues_with_mhi,is_previously_employed,is_previous_employer_provides_mh_benefits,is_aware_mh_options_by_previous_employer,is_mh_discussed_by_previous_employer,is_mh_resources_provided_by_previous_employer,is_anonymity_protected_by_previous_employer,is_discussing_mhd_with_previous_employer_have_negative_consequences,is_discussing_phd_with_previous_employer_have_negative_consequences,is_willing_to_discuss_mhi_with_previous_colleagues,is_willing_to_discuss_mhi_with_previous_direct_supervisor,is_previous_employer_takes_mh_seriously,is_aware_of_previous_negative_consequence_of_colleagues_with_mhi_in_previous_workplace,is_willing_to_bring_phi_in_interview,why_or_why_not_bring_phi_in_interview,is_willing_to_bring_mhi_in_interview,why_or_why_not_bring_mhi_in_interview,is_being_identified_with_mhi_would_hurt_your_career,is_being_identified_with_mhi_would_lower_your_status_among_colleagues,is_wiling_to_share_about_mhi,previously_observed_experienced_response_to_mhi,family_history_of_mhi,previous_history_of_mhi,is_having_mhd,diagnosed_by_professional,is_sought_treatment_for_mhi,is_mhi_interferes_with_your_work_when_treated_effectively,is_mhi_does_not_interfere_with_your_work_when_treated_effectively,age,gender,country_of_residency,country_of_work,role_description,is_remote,Cluster
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,"Yes, at all of my previous employers",I don't know,None of them,No,Performance-related issues,Maybe,Performance-related issues,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,Other,Other,IT,Sometimes,1
0,26-100,1,Yes,I am not sure,No,I don't know,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Transparency and Honesty,Yes,Transparency and Honesty,"No, I don't think it would","No, I don't think they would",Somewhat not open,Maybe/Not sure,No,Yes,Yes,No,0,Not applicable to me,Sometimes,30s,Male,United Kingdom,United Kingdom,Management,Sometimes,1
0,100-500,1,No,No,No,Yes,I don't know,Somewhat easy,Maybe,No,No,No,I don't know,Yes,1,"No, none did",N/A (not currently aware),None did,None did,Sometimes,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,Performance-related issues,No,Performance-related issues,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,Germany,Germany,Management,Never,1
0,100-500,1,No,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,No,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Maybe,Discrimination/Prejudice,Maybe,Discrimination/Prejudice,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",No,No,Maybe,No,0,Never,Sometimes,20s,Male,United Kingdom,United Kingdom,IT,Never,1
0,More than 1000,1,Yes,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,I don't know,Yes,1,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,Some of them,Yes,Uncertainty about Employer Reaction,Yes,Transparency and Honesty,Maybe,Maybe,Very open,"Yes, I observed",I don't know,No,No,No,0,Not applicable to me,Not applicable to me,40s,Male,Canada,Canada,Support,Always,1
0,More than 1000,0,No,I am not sure,No,No,No,Somewhat difficult,Maybe,No,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,Discrimination/Prejudice,No,Discrimination/Prejudice,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,40s,Male,United States of America,United States of America,IT,Never,1
0,6-25,1,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Performance-related issues,Maybe,Low hiring chances,Maybe,Maybe,Somewhat not open,No,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,40s,Male,United States of America,United States of America,IT,Sometimes,1
0,6-25,1,Yes,Yes,No,No,Yes,Very easy,Maybe,Maybe,Yes,Yes,I don't know,No,1,Some did,I was aware of some,None did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Discrimination/Prejudice,Yes,Discrimination/Prejudice,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,No,No,No,0,Not applicable to me,Not applicable to me,20s,Male,United States of America,United States of America,IT,Sometimes,1
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Yes,Transparency and Honesty,Maybe,Discrimination/Prejudice,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,Netherlands,Netherlands,Management,Sometimes,1
0,More than 1000,0,Yes,No,Yes,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,I don't know,No,1,Some did,N/A (not currently aware),Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,"Yes, all of them",No,Low hiring chances,No,Low hiring chances,Maybe,"No, I don't think they would",Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Female,United States of America,United States of America,Other,Sometimes,1
0,6-25,0,Yes,I am not sure,No,No,I don't know,Somewhat difficult,No,No,No,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,Performance-related issues,No,Discrimination/Prejudice,"No, I don't think it would",Maybe,Somewhat not open,No,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,40s,Female,United States of America,United States of America,IT,Sometimes,1
0,100-500,0,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,No,1,"No, none did",I was aware of some,None did,None did,I don't know,Some of them,None of them,Some of my previous employers,I don't know,None did,None of them,Yes,Privacy and Personal Concerns,Maybe,Performance-related issues,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,40s,Male,United States of America,United States of America,IT,Sometimes,1
0,More than 1000,1,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Maybe,Lack of Benefit in Disclosing,Maybe,Lack of Benefit in Disclosing,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,I don't know,No,Maybe,No,0,Sometimes,Sometimes,40s,Male,Other,Other,IT,Sometimes,1
0,26-100,1,Yes,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",None did,None of them,Maybe,Discrimination/Prejudice,Maybe,Discrimination/Prejudice,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,United States of America,United States of America,Management,Sometimes,1
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,Some did,"Yes, always",I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,Lack of Benefit in Disclosing,No,Lack of Benefit in Disclosing,Maybe,Maybe,Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,United Kingdom,United Kingdom,Other,Sometimes,1
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,Performance-related issues,No,Discrimination/Prejudice,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,Netherlands,Netherlands,Management,Sometimes,1
0,100-500,1,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,Maybe,No,Maybe,I don't know,No,1,Some did,I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Discrimination/Prejudice,No,Discrimination/Prejudice,"Yes, I think it would",Maybe,Somewhat open,No,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,20s,Male,United States of America,United States of America,IT,Never,1
0,100-500,1,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Transparency and Honesty,Maybe,Low hiring chances,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,20s,Male,Other,Other,Support,Sometimes,1
0,1-5,1,No,No,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Transparency and Honesty,Yes,Transparency and Honesty,Maybe,"No, I don't think they would",Very open,No,No,Yes,No,Yes,1,Not applicable to me,Not applicable to me,40s,Male,Netherlands,Netherlands,IT,Sometimes,1
0,26-100,1,Yes,Yes,No,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Privacy and Personal Concerns,No,Privacy and Personal Concerns,Maybe,"No, I don't think they would",Somewhat open,No,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,30s,Male,United States of America,United States of America,Management,Always,1
0,26-100,1,No,No,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,1,Some did,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Maybe,Discrimination/Prejudice,No,Other,Maybe,"No, I don't think they would",Somewhat open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,40s,Male,Netherlands,Netherlands,IT,Sometimes,1
0,6-25,1,I don't know,I am not sure,No,No,No,Somewhat easy,No,No,Yes,Maybe,Yes,No,1,I don't know,N/A (not currently aware),None did,Some did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Performance-related issues,Maybe,Low hiring chances,Maybe,"No, I don't think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Female,Netherlands,Netherlands,IT,Never,1
0,26-100,1,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,No,1,Some did,I was aware of some,I don't know,Some did,Sometimes,I don't know,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Transparency and Honesty,No,Low hiring chances,Maybe,Maybe,Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,United States of America,United States of America,IT,Sometimes,1
0,1-5,1,Yes,Yes,No,I don't know,Yes,I don't know,No,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,Low hiring chances,No,Uncertainty about Employer Reaction,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,20s,Male,United Kingdom,United Kingdom,IT,Never,1
0,26-100,1,I don't know,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Transparency and Honesty,Maybe,Performance-related issues,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,United States of America,United States of America,Advocacy,Sometimes,1
0,6-25,1,Yes,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,No,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,Uncertainty about Employer Reaction,Yes,Transparency and Honesty,Maybe,Maybe,Somewhat not open,"Yes, I experienced",No,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,40s,Male,United States of America,United States of America,IT,Never,1
0,26-100,1,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,No,1,I don't know,I was aware of some,None did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Discrimination/Prejudice,No,Discrimination/Prejudice,"Yes, I think it would",Maybe,Somewhat open,No,No,Maybe,Maybe,No,0,Not applicable to me,Rarely,40s,Male,Canada,Canada,IT,Never,1
0,6-25,1,No,No,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Transparency and Honesty,Maybe,Discrimination/Prejudice,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,Yes,No,0,Rarely,Sometimes,20s,Male,United Kingdom,United Kingdom,Management,Sometimes,1
0,6-25,1,No,No,No,No,I don't know,Somewhat difficult,Yes,No,No,Yes,No,Yes,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",I don't know,Some did,None of them,Yes,Transparency and Honesty,Yes,Transparency and Honesty,Maybe,"Yes, I think they would",Not open at all,"Yes, I observed",No,No,No,No,0,Never,Sometimes,30s,Male,Other,Other,IT,Always,1
0,26-100,1,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did",I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",Some of them,No,Low hiring chances,No,Low hiring chances,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Female,United States of America,United States of America,IT,Always,1
0,26-100,1,I don't know,I am not sure,Yes,I don't know,Yes,I don't know,No,No,No,No,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,I don't know,None did,None of them,Maybe,Privacy and Personal Concerns,Maybe,Privacy and Personal Concerns,Maybe,"No, I don't think they would",Somewhat open,No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,40s,Male,United States of America,United States of America,IT,Sometimes,1
0,500-1000,1,Yes,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,No,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,Low hiring chances,No,Low hiring chances,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,40s,Male,United States of America,United States of America,IT,Sometimes,1
0,6-25,1,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Performance-related issues,Yes,Transparency and Honesty,Maybe,Maybe,Somewhat open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,United States of America,United States of America,IT,Sometimes,1
0,26-100,1,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,Maybe,Maybe,No,No,I don't know,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,Lack of Benefit in Disclosing,No,Lack of Benefit in Disclosing,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,20s,Female,United States of America,United States of America,Design,Sometimes,1
0,100-500,0,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Yes,Transparency and Honesty,Yes,Transparency and Honesty,Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,No,Maybe,No,0,Not applicable to me,Not applicable to me,30s,Male,United States of America,United States of America,Design,Sometimes,1
0,More than 1000,1,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,Discrimination/Prejudice,No,Discrimination/Prejudice,"Yes, I think it would",Maybe,Somewhat open,No,Yes,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,30s,Male,United States of America,United States of America,IT,Sometimes,1
0,26-100,0,Yes,Yes,No,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,None of them,Maybe,Other,Maybe,Discrimination/Prejudice,Maybe,"No, I don't think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,Above 50s,Male,United States of America,United States of America,Management,Sometimes,1
0,26-100,1,Yes,Yes,Yes,I don't know,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,Performance-related issues,No,Privacy and Personal Concerns,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,20s,Female,United States of America,United States of America,Design,Sometimes,1
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,Transparency and Honesty,Yes,Transparency and Honesty,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,Netherlands,Netherlands,Other,Sometimes,1
0,100-500,1,I don't know,No,I don't know,I don't know,I don't know,Very easy,Maybe,Maybe,Yes,Yes,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,Performance-related issues,Maybe,Performance-related issues,Maybe,"No, I don't think they would",Very open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,Other,Other,IT,Sometimes,1
0,26-100,1,Yes,No,No,No,No,Somewhat easy,Maybe,No,No,Maybe,Yes,No,1,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Maybe,Low hiring chances,No,Low hiring chances,"Yes, I think it would","Yes, I think they would",Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,40s,Female,United States of America,United States of America,Other,Sometimes,1
0,More than 1000,1,I don't know,No,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,Performance-related issues,No,Performance-related issues,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,Yes,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,United States of America,United States of America,IT,Sometimes,1
