AirportCode,City,StateCode,StateName,Latitude,Longitude,Flights
EGE,Eagle,CO,Colorado,39.64225685,-106.9172206,413
COS,Colorado Springs,CO,Colorado,38.8004299,-104.7032771,2514
GUC,Gunnison,CO,Colorado,38.5323609,-106.9398273,112
DEN,Denver,CO,Colorado,39.8606676,-104.6853673,43878
ASE,Aspen,CO,Colorado,39.22142085,-106.8673412,691
PUB,Pueblo,CO,Colorado,38.29844685,-104.503308,26
HDN,Hayden,CO,Colorado,40.4844693,-107.220936,255
GJT,Grand Junction,CO,Colorado,39.1234158,-108.5244492,764
MTJ,Montrose/Delta,CO,Colorado,38.5118206,-107.892488,325
DRO,Durango,CO,Colorado,37.15284235,-107.7586059,437
HVN,New Haven,CT,Connecticut,41.2626111,-72.88563444,39
BDL,Hartford,CT,Connecticut,41.9405835,-72.68501994,6095
ILG,Wilmington,DE,Delaware,39.6796715,-75.60763354,17
PGD,Punta Gorda,FL,Florida,26.9194137,-81.9930281,105
FLL,Fort Lauderdale,FL,Florida,26.072017,-80.15099673,14702
SRQ,Sarasota/Bradenton,FL,Florida,27.39598835,-82.55407423,1137
SFB,Sanford,FL,Florida,28.7759519,-81.24123904,202
TLH,Tallahassee,FL,Florida,30.39782605,-84.35908394,953
EYW,Key West,FL,Florida,24.5554773,-81.75961603,407
PNS,Pensacola,FL,Florida,30.4725975,-87.18808593,1851
RSW,Fort Myers,FL,Florida,26.53294975,-81.75880563,5430
PFN,Panama City,FL,Florida,,,224
APF,Naples,FL,Florida,26.1523225,-81.77394138,25
ECP,Panama City,FL,Florida,30.35993085,-85.80404564,536
PBI,West Palm Beach/Palm Beach,FL,Florida,26.6859478,-80.09248651,5447
DAB,Daytona Beach,FL,Florida,29.1816439,-81.05426943,531
JAX,Jacksonville,FL,Florida,30.49375,-81.69303816,5786
GNV,Gainesville,FL,Florida,29.6923104,-82.27599665,484
MLB,Melbourne,FL,Florida,28.1016898,-80.64816341,382
VPS,Valparaiso,FL,Florida,30.48630535,-86.5133883,1178
MCO,Orlando,FL,Florida,28.41290355,-81.3094431,24989
TPA,Tampa,FL,Florida,27.9791649,-82.53492762,15140
MIA,Miami,FL,Florida,25.7949789,-80.28672341,15461
PIE,St. Petersburg,FL,Florida,27.90994325,-82.68771789,250
AGS,Augusta,GA,Georgia,33.37230205,-81.96506391,532
VLD,Valdosta,GA,Georgia,30.77831025,-83.27803411,202
ABY,Albany,GA,Georgia,31.5339678,-84.19254493,183
CSG,Columbus,GA,Georgia,32.51660405,-84.9420079,262
BQK,Brunswick,GA,Georgia,31.259811,-81.46397066,207
SAV,Savannah,GA,Georgia,32.12423765,-81.19770645,2187
ATL,Atlanta,GA,Georgia,33.63740085,-84.42981607,80348
MCN,Macon,GA,Georgia,32.6938395,-83.64801777,65
LIH,Lihue,HI,Hawaii,21.97206585,-159.3367154,2087
HNL,Honolulu,HI,Hawaii,21.32115685,-157.9184416,9546
KOA,Kona,HI,Hawaii,19.743906,-156.042296,2165
ITO,Hilo,HI,Hawaii,19.7188306,-155.0475539,1125
OGG,Kahului,HI,Hawaii,20.89569785,-156.4340476,3891
MKK,Hoolehua,HI,Hawaii,21.15264475,-157.0962161,5
LWS,Lewiston,ID,Idaho,46.37573125,-117.015503,111
IDA,Idaho Falls,ID,Idaho,43.5151828,-112.0661095,505
TWF,Twin Falls,ID,Idaho,42.4817,-114.4877,269
PIH,Pocatello,ID,Idaho,42.9074805,-112.5928393,268
BOI,Boise,ID,Idaho,43.55988165,-116.2078225,3109
SUN,Sun Valley/Hailey/Ketchum,ID,Idaho,43.50392605,-114.2971542,392
CMI,Champaign/Urbana,IL,Illinois,40.0383172,-88.27156685,431
SPI,Springfield,IL,Illinois,39.84368615,-89.67956595,277
RFD,Rockford,IL,Illinois,42.1966203,-89.10185949,31
UIN,Quincy,IL,Illinois,39.9447505,-91.19378942,21
ORD,Chicago,IL,Illinois,41.9782523,-87.90923553,69702
BMI,Bloomington/Normal,IL,Illinois,40.4733557,-88.91480265,633
MDW,Chicago,IL,Illinois,41.78551415,-87.75172435,17520
PIA,Peoria,IL,Illinois,-27.1891033,116.2846248,822
BLV,Belleville,IL,Illinois,38.5461016,-89.81997446,22
MLI,Moline,IL,Illinois,41.44772135,-90.51146651,1045
FWA,Fort Wayne,IN,Indiana,40.9798288,-85.18791163,1080
SBN,South Bend,IN,Indiana,41.7091043,-86.32325341,817
EVV,Evansville,IN,Indiana,38.04221405,-87.52879411,810
IND,Indianapolis,IN,Indiana,39.7162533,-86.29508389,7846
CID,Cedar Rapids/Iowa City,IA,Iowa,41.8853041,-91.71472417,1533
ALO,Waterloo,IA,Iowa,42.5577097,-92.39406158,62
SUX,Sioux City,IA,Iowa,42.4036084,-96.3836488,94
DSM,Des Moines,IA,Iowa,41.5345493,-93.65923945,2454
DBQ,Dubuque,IA,Iowa,42.4013234,-90.7064773,190
ICT,Wichita,KS,Kansas,37.649253,-97.4322633,2209
HYS,Hays,KS,Kansas,38.84114805,-99.27083846,60
LBL,Liberal,KS,Kansas,37.04496205,-100.9586671,11
MHK,Manhattan/Ft. Riley,KS,Kansas,39.13875695,-96.66961383,140
GCK,Garden City,KS,Kansas,37.92967115,-100.7264319,62
SLN,Salina,KS,Kansas,38.7927541,-97.65486608,14
SDF,Louisville,KY,Kentucky,38.1716962,-85.73540756,4158
CVG,Cincinnati,KY,Kentucky,39.04990645,-84.66515749,15449
LEX,Lexington,KY,Kentucky,38.03480425,-84.60492174,1527
PAH,Paducah,KY,Kentucky,37.0596,-88.773,84
AEX,Alexandria,LA,Louisiana,31.32927365,-92.54095487,578
BTR,Baton Rouge,LA,Louisiana,30.5319743,-91.15042415,1672
LCH,Lake Charles,LA,Louisiana,30.12242205,-93.22206256,267
LFT,Lafayette,LA,Louisiana,30.2031617,-91.98991066,870
SHV,Shreveport,LA,Louisiana,32.4451121,-93.82673716,1366
MSY,New Orleans,LA,Louisiana,29.99420015,-90.26430439,9391
MLU,Monroe,LA,Louisiana,32.5111077,-92.0384615,555
BGR,Bangor,ME,Maine,44.8072619,-68.81941486,509
PWM,Portland,ME,Maine,43.6461776,-70.31441197,1630
BWI,Baltimore,MD,Maryland,39.1828341,-76.6698273,21393
ORH,Worcester,MA,Massachusetts,42.2686095,-71.87306398,76
BOS,Boston,MA,Massachusetts,42.36317665,-71.01364006,26393
HYA,Hyannis,MA,Massachusetts,41.6707658,-70.28439043,3
MVY,Martha's Vineyard,MA,Massachusetts,41.3923919,-70.61459569,16
ACK,Nantucket,MA,Massachusetts,41.2558239,-70.05803775,73
LAN,Lansing,MI,Michigan,42.77810185,-84.58586489,662
CIU,Sault Ste. Marie,MI,Michigan,46.2424749,-84.46359806,44
MQT,Marquette,MI,Michigan,46.35340685,-87.39695851,152
APN,Alpena,MI,Michigan,45.07879025,-83.55999676,40
PLN,Pellston,MI,Michigan,45.56926085,-84.79694655,86
MBS,Saginaw/Bay City/Midland,MI,Michigan,43.53579615,-84.08284957,605
TVC,Traverse City,MI,Michigan,44.7417371,-85.58025526,665
IMT,Iron Mountain/Kingsfd,MI,Michigan,45.8213995,-88.11311416,50
AZO,Kalamazoo,MI,Michigan,42.2307865,-85.55104192,592
ESC,Escanaba,MI,Michigan,45.72455915,-87.08899328,47
DTW,Detroit,MI,Michigan,42.2056991,-83.35297538,30455
GRR,Grand Rapids,MI,Michigan,42.8766103,-85.53629092,2793
FNT,Flint,MI,Michigan,42.9602486,-83.74564547,1021
CMX,Hancock/Houghton,MI,Michigan,47.16827015,-88.4865113,94
MKG,Muskegon,MI,Michigan,43.1703365,-86.2370531,79
BJI,Bemidji,MN,Minnesota,47.5101068,-94.92982435,55
BRD,Brainerd,MN,Minnesota,46.40507465,-94.12827993,59
DLH,Duluth,MN,Minnesota,46.84188665,-92.20297538,450
RST,Rochester,MN,Minnesota,43.90430975,-92.49544413,533
MSP,Minneapolis,MN,Minnesota,44.87801905,-93.22092805,29416
STC,St. Cloud,MN,Minnesota,45.54722915,-94.05849943,10
HIB,Hibbing,MN,Minnesota,47.38500865,-92.83874878,55
INL,International Falls,MN,Minnesota,48.5661049,-93.40407638,41
GTR,Columbus,MS,Mississippi,33.4502,-88.5903986,183
UTM,Tunica,MS,Mississippi,34.6853311,-90.34808054,3
PIB,Hattiesburg/Laurel,MS,Mississippi,31.4672,-89.3363366,39
MEI,Meridian,MS,Mississippi,32.32774155,-88.75257828,148
JAN,Jackson/Vicksburg,MS,Mississippi,32.3121104,-90.07677829,2002
TUP,Tupelo,MS,Mississippi,34.26748865,-88.76847486,14
GPT,Gulfport/Biloxi,MS,Mississippi,22.3160874,113.9364784,971
CGI,Cape Girardeau,MO,Missouri,37.22471585,-89.56800318,12
SGF,Springfield,MO,Missouri,37.24298375,-93.38891406,1336
STL,St. Louis,MO,Missouri,38.74962725,-90.37047025,17168
COU,Columbia,MO,Missouri,38.8168307,-92.2198931,93
BKG,Branson,MO,Missouri,36.52780005,-93.19781658,74
MCI,Kansas City,MO,Missouri,39.3022045,-94.72082796,11635
JLN,Joplin,MO,Missouri,37.15928825,-94.50090287,64
BIL,Billings,MT,Montana,45.80923485,-108.5476752,828
WYS,West Yellowstone,MT,Montana,44.6864408,-111.1173851,45
GTF,Great Falls,MT,Montana,47.4800263,-111.375579,514
BZN,Bozeman,MT,Montana,45.7834995,-111.1569824,889
FCA,Kalispell,MT,Montana,48.3108042,-114.2556937,522
BTM,Butte,MT,Montana,45.95485055,-112.4965953,136
MSO,Missoula,MT,Montana,46.91686665,-114.0878005,702
HLN,Helena,MT,Montana,46.6063969,-111.9827445,346
BFF,Scottsbluff,NE,Nebraska,41.87685875,-103.5949185,13
OMA,Omaha,NE,Nebraska,41.3011252,-95.88987091,4669
GRI,Grand Island,NE,Nebraska,40.97051495,-98.30753672,65
LNK,Lincoln,NE,Nebraska,40.84731465,-96.75744256,565
LBF,North Platte,NE,Nebraska,41.12802075,-100.6886244,13
RNO,Reno,NV,Nevada,39.4986462,-119.7733319,4758
EKO,Elko,NV,Nevada,40.82550195,-115.7880111,250
LAS,Las Vegas,NV,Nevada,36.0861034,-115.1611198,33051
PSM,Portsmouth,NH,New Hampshire,43.07902105,-70.81867768,6
MHT,Manchester,NH,New Hampshire,42.93066555,-71.43880866,2975
EWR,Newark,NJ,New Jersey,40.68906405,-74.17725485,27813
ACY,Atlantic City,NJ,New Jersey,39.45708535,-74.57027649,226
TTN,Trenton,NJ,New Jersey,40.27641195,-74.81321108,193
SAF,Santa Fe,NM,New Mexico,35.61831735,-106.0878316,181
ROW,Roswell,NM,New Mexico,33.3006936,-104.5316574,142
ABQ,Albuquerque,NM,New Mexico,35.03766945,-106.6109675,6829
HOB,Hobbs,NM,New Mexico,32.68632,-103.2142949,64
SYR,Syracuse,NY,New York,43.1141752,-76.11914451,2301
ROC,Rochester,NY,New York,43.1161699,-77.67269339,2897
JFK,New York,NY,New York,40.6429479,-73.77937337,20724
ISP,Islip,NY,New York,40.79580915,-73.09920086,1751
IAG,Niagara Falls,NY,New York,43.10726625,-78.95234982,22
SWF,Newburgh/Poughkeepsie,NY,New York,41.5020532,-74.12120288,437
ALB,Albany,NY,New York,42.74801595,-73.79855564,2697
ART,Watertown,NY,New York,43.9896298,-76.02236707,12
ELM,Elmira/Corning,NY,New York,42.16082385,-76.89412932,220
LGA,New York,NY,New York,40.7757145,-73.87336399,24577
HPN,White Plains,NY,New York,41.0680174,-73.70833334,1805
BGM,Binghamton,NY,New York,42.2106484,-75.98155093,166
ITH,Ithaca/Cortland,NY,New York,42.49180205,-76.46069462,111
BUF,Buffalo,NY,New York,42.9402016,-78.7307523,4841
PBG,Plattsburgh,NY,New York,44.6516866,-73.4643667,31
AVL,Asheville,NC,North Carolina,35.4364233,-82.54088095,892
USA,CONCORD,NC,North Carolina,42.3743325,-71.0302794,19
SOP,Pinehurst/Southern Pines,NC,North Carolina,42.0961111,-73.8552778,5
HKY,Hickory,NC,North Carolina,35.7410004,-81.3892697,12
OAJ,Jacksonville/Camp Lejeune,NC,North Carolina,34.82679245,-77.61493391,234
RDU,Raleigh/Durham,NC,North Carolina,35.88036145,-78.78723822,10554
ISO,Kinston,NC,North Carolina,35.3290496,-77.6077152,14
CLT,Charlotte,NC,North Carolina,35.21074145,-80.94574352,28800
GSO,Greensboro/High Point,NC,North Carolina,36.1020574,-79.94459695,2581
EWN,New Bern/Morehead/Beaufort,NC,North Carolina,35.07097995,-77.03950054,140
PGV,Greenville,NC,North Carolina,35.63797635,-77.3800184,10
FAY,Fayetteville,NC,North Carolina,34.9921371,-78.88416821,476
ILM,Wilmington,NC,North Carolina,34.27353635,-77.90953507,716
GFK,Grand Forks,ND,North Dakota,47.9518219,-97.17447065,268
DIK,Dickinson,ND,North Dakota,46.8016713,-102.8005097,31
FAR,Fargo,ND,North Dakota,46.9208925,-96.81448803,975
MOT,Minot,ND,North Dakota,48.25794645,-101.2770051,328
DVL,Devils Lake,ND,North Dakota,48.1138202,-98.9072037,25
BIS,Bismarck/Mandan,ND,North Dakota,46.7732585,-100.7471637,563
JMS,Jamestown,ND,North Dakota,46.9276783,-98.67813531,56
ISN,Williston,ND,North Dakota,48.1771083,-103.6401256,132
LCK,Columbus,OH,Ohio,39.8132172,-82.93419973,18
CMH,Columbus,OH,Ohio,39.99705605,-82.89304061,7346
DAY,Dayton,OH,Ohio,39.9053187,-84.22024542,2630
CAK,Akron,OH,Ohio,40.9152061,-81.43992419,1380
CLE,Cleveland,OH,Ohio,41.40645365,-81.85110104,12447
TOL,Toledo,OH,Ohio,-4.98093375,152.0100794,392
LAW,Lawton/Fort Sill,OK,Oklahoma,34.5698495,-98.4181223,295
OKC,Oklahoma City,OK,Oklahoma,35.3848053,-97.60534425,4727
TUL,Tulsa,OK,Oklahoma,36.2010229,-95.88681361,4299
EUG,Eugene,OR,Oregon,44.12416275,-123.214918,928
LMT,Klamath Falls,OR,Oregon,42.15643655,-121.7327762,62
RDM,Bend/Redmond,OR,Oregon,44.25408195,-121.1490687,565
OTH,North Bend/Coos Bay,OR,Oregon,43.41549325,-124.2434654,86
MFR,Medford,OR,Oregon,42.3727441,-122.8734383,795
PDX,Portland,OR,Oregon,45.5871326,-122.5927798,11990
PIT,Pittsburgh,PA,Pennsylvania,40.49178275,-80.23702449,11287
PHL,Philadelphia,PA,Pennsylvania,39.875018,-75.23521279,21590
AVP,Scranton/Wilkes-Barre,PA,Pennsylvania,41.33709205,-75.72257123,454
ABE,Allentown/Bethlehem/Easton,PA,Pennsylvania,40.6511137,-75.44223357,916
ERI,Erie,PA,Pennsylvania,42.08471035,-80.17447235,192
SCE,State College,PA,Pennsylvania,40.85032355,-77.84866392,158
LBE,Latrobe,PA,Pennsylvania,40.272974,-79.40641166,58
MDT,Harrisburg,PA,Pennsylvania,40.1932098,-76.75294587,1415
BQN,Aguadilla,PR,Puerto Rico,18.49346055,-67.13421587,250
PSE,Ponce,PR,Puerto Rico,18.008886,-66.56334975,128
SJU,San Juan,PR,Puerto Rico,18.44319945,-65.99743037,5426
PVD,Providence,RI,Rhode Island,41.72243995,-71.42858822,4590
GSP,Greer,SC,South Carolina,34.8954456,-82.21722846,2102
CAE,Columbia,SC,South Carolina,33.93886305,-81.11397151,1563
HHH,Hilton Head,SC,South Carolina,32.2251885,-80.69690308,45
FLO,Florence,SC,South Carolina,34.18512895,-79.72539991,77
CHS,Charleston,SC,South Carolina,32.89929845,-80.03946503,2908
MYR,Myrtle Beach,SC,South Carolina,33.6806406,-78.92905971,1233
ABR,Aberdeen,SD,South Dakota,45.44449015,-98.4145151,77
RAP,Rapid City,SD,South Dakota,44.0448069,-103.0606801,805
FSD,Sioux Falls,SD,South Dakota,43.58273465,-96.74120311,1117
TYS,Knoxville,TN,Tennessee,35.809553,-83.99887165,2269
MEM,Memphis,TN,Tennessee,35.04625645,-89.97689467,9660
BNA,Nashville,TN,Tennessee,36.11958985,-86.68308703,12489
CHA,Chattanooga,TN,Tennessee,35.03238355,-85.20167789,921
TRI,Bristol/Johnson City/Kingsport,TN,Tennessee,36.47344765,-82.40843269,488
EFD,Houston,TX,Texas,29.60462745,-95.16560428,34
VCT,Victoria,TX,Texas,28.8540778,-96.91812068,31
DRT,Del Rio,TX,Texas,29.3725627,-100.9224832,10
DAL,Dallas,TX,Texas,32.84524055,-96.84732188,11274
MFE,Mission/McAllen/Edinburg,TX,Texas,26.17627985,-98.23960548,795
CLL,College Station/Bryan,TX,Texas,30.58822845,-96.36411164,411
TYR,Tyler,TX,Texas,32.35190965,-95.40208756,355
ILE,Killeen,TX,Texas,31.0860075,-97.68657393,133
CRP,Corpus Christi,TX,Texas,27.7702374,-97.50657535,1325
ABI,Abilene,TX,Texas,61.62916165,-149.0469542,471
MAF,Midland/Odessa,TX,Texas,31.9460261,-102.2106187,1699
HRL,Harlingen/San Benito,TX,Texas,26.23004735,-97.65370801,934
SAT,San Antonio,TX,Texas,29.5334021,-98.46921443,8350
ELP,El Paso,TX,Texas,31.809584,-106.366598,4249
AUS,Austin,TX,Texas,30.19348925,-97.66500964,10079
HOU,Houston,TX,Texas,29.64714905,-95.27693031,12196
SPS,Wichita Falls,TX,Texas,33.9661199,-98.48989709,275
LBB,Lubbock,TX,Texas,33.66525745,-101.8266887,1599
LRD,Laredo,TX,Texas,27.54721475,-99.46147683,483
BPT,Beaumont/Port Arthur,TX,Texas,29.95237505,-94.02178081,154
IAH,Houston,TX,Texas,29.9841416,-95.33298596,36800
GGG,Longview,TX,Texas,32.38381895,-94.71366358,203
BRO,Brownsville,TX,Texas,25.905718,-97.42552923,366
GRK,Killeen,TX,Texas,31.0616542,-97.82060336,565
ACT,Waco,TX,Texas,31.6127285,-97.22484009,335
SJT,San Angelo,TX,Texas,31.35468635,-100.4986245,261
DFW,Dallas/Fort Worth,TX,Texas,32.89651945,-97.04652205,59497
AMA,Amarillo,TX,Texas,-4.1015945,141.6703234,1378
PPG,Pago Pago,TT,U.S. Pacific Trust Territories and Possessions,-14.3347658,-170.7159686,8
GUM,Guam,TT,U.S. Pacific Trust Territories and Possessions,13.4864902,144.8020603,42
SPN,Saipan,TT,U.S. Pacific Trust Territories and Possessions,15.12049075,145.7296252,9
STT,Charlotte Amalie,VI,U.S. Virgin Islands,18.33476905,-64.97245365,734
STX,Christiansted,VI,U.S. Virgin Islands,17.69997805,-64.8059209,157
PVU,Provo,UT,Utah,40.2192141,-111.7205738,10
VEL,Vernal,UT,Utah,40.43530255,-109.5116072,24
CNY,Moab,UT,Utah,38.7689887,-109.7507962,11
SLC,Salt Lake City,UT,Utah,40.7900661,-111.9798985,24827
CDC,Cedar City,UT,Utah,37.7025428,-113.0991022,115
SGU,St. George,UT,Utah,37.0342442,-113.5090165,465
BTV,Burlington,VT,Vermont,44.4728965,-73.15146137,1201
ORF,Norfolk,VA,Virginia,36.8946697,-76.2022963,3786
DCA,Washington,VA,Virginia,38.85128945,-77.03968894,18784
LYH,Lynchburg,VA,Virginia,37.3221732,-79.20660297,108
IAD,Washington,VA,Virginia,38.95226625,-77.45348491,15785
SHD,Staunton,VA,Virginia,38.26252605,-78.89996407,18
ROA,Roanoke,VA,Virginia,37.32442625,-79.97679739,649
RIC,Richmond,VA,Virginia,37.5073698,-77.3336845,3865
CHO,Charlottesville,VA,Virginia,38.1410056,-78.45045798,429
PHF,Newport News/Williamsburg,VA,Virginia,37.1322965,-76.49401292,695
PSC,Pasco/Kennewick/Richland,WA,Washington,46.2635986,-119.1189015,595
GEG,Spokane,WA,Washington,47.62004405,-117.5423667,2695
SEA,Seattle,WA,Washington,47.4475673,-122.3080159,23888
PAE,Everett,WA,Washington,47.9088268,-122.2794302,13
BLI,Bellingham,WA,Washington,48.79368955,-122.5359569,119
CRW,Charleston/Dunbar,WV,West Virginia,38.37294755,-81.59421973,720
LWB,Lewisburg,WV,West Virginia,37.8586232,-80.39963715,45
CKB,Clarksburg/Fairmont,WV,West Virginia,39.29950215,-80.22843231,17
HTS,Ashland,WV,West Virginia,38.36796505,-82.55960212,68
EAU,Eau Claire,WI,Wisconsin,44.8689683,-91.48550075,84
ATW,Appleton,WI,Wisconsin,44.25659495,-88.52169599,658
MKE,Milwaukee,WI,Wisconsin,42.9465423,-87.89725779,6380
LSE,La Crosse,WI,Wisconsin,43.878607,-91.25557154,325
RHI,Rhinelander,WI,Wisconsin,45.6314535,-89.47897405,77
MSN,Madison,WI,Wisconsin,43.1420815,-89.33774534,2207
CWA,Mosinee,WI,Wisconsin,44.7727172,-89.66716494,300
GRB,Green Bay,WI,Wisconsin,44.47848805,-88.14362007,1139
LAR,Laramie,WY,Wyoming,41.3134545,-105.6728654,39
CPR,Casper,WY,Wyoming,42.9054243,-106.4645276,417
JAC,Jackson,WY,Wyoming,43.6087926,-110.7380325,668
GCC,Gillette,WY,Wyoming,44.34685815,-105.5379262,172
COD,Cody,WY,Wyoming,44.52075195,-109.0218534,185
RKS,Rock Springs,WY,Wyoming,41.59507585,-109.0684214,161
CYS,Cheyenne,WY,Wyoming,41.1562943,-104.8088246,9
